HLA_Class,HLA_FourDigits
ClassII,DRB5_0112
ClassII,DRB5_0113
ClassII,DRB5_0114
ClassII,DRB5_0202
ClassII,DRB5_0203
ClassII,DRB5_0204
ClassII,DRB5_0205
ClassII,DPA1_0103-DPB1_0101
ClassII,DPA1_0103-DPB1_0201
ClassII,DPA1_0103-DPB1_0202
ClassII,DPA1_0103-DPB1_0301
ClassII,DPA1_0103-DPB1_0401
ClassII,DPA1_0103-DPB1_0402
ClassII,DPA1_0103-DPB1_0501
ClassII,DPA1_0103-DPB1_0601
ClassII,DPA1_0103-DPB1_0801
ClassII,DPA1_0103-DPB1_0901
ClassII,DPA1_0103-DPB1_1001
ClassII,DPA1_0103-DPB1_1101
ClassII,DPA1_0103-DPB1_1301
ClassII,DPA1_0103-DPB1_1401
ClassII,DPA1_0103-DPB1_1501
ClassII,DPA1_0103-DPB1_1601
ClassII,DPA1_0103-DPB1_1701
ClassII,DPA1_0103-DPB1_1801
ClassII,DPA1_0103-DPB1_1901
ClassII,DPA1_0103-DPB1_2001
ClassII,DPA1_0103-DPB1_2101
ClassII,DPA1_0103-DPB1_2201
ClassII,DPA1_0103-DPB1_2301
ClassII,DPA1_0103-DPB1_2401
ClassII,DPA1_0103-DPB1_2501
ClassII,DPA1_0103-DPB1_2601
ClassII,DPA1_0103-DPB1_2701
ClassII,DPA1_0103-DPB1_2801
ClassII,DPA1_0103-DPB1_2901
ClassII,DPA1_0103-DPB1_3001
ClassII,DPA1_0103-DPB1_3101
ClassII,DPA1_0103-DPB1_3201
ClassII,DPA1_0103-DPB1_3301
ClassII,DPA1_0103-DPB1_3401
ClassII,DPA1_0103-DPB1_3501
ClassII,DPA1_0103-DPB1_3601
ClassII,DPA1_0103-DPB1_3701
ClassII,DPA1_0103-DPB1_3801
ClassII,DPA1_0103-DPB1_3901
ClassII,DPA1_0103-DPB1_4001
ClassII,DPA1_0103-DPB1_4101
ClassII,DPA1_0103-DPB1_4401
ClassII,DPA1_0103-DPB1_4501
ClassII,DPA1_0103-DPB1_4601
ClassII,DPA1_0103-DPB1_4701
ClassII,DPA1_0103-DPB1_4801
ClassII,DPA1_0103-DPB1_4901
ClassII,DPA1_0103-DPB1_5001
ClassII,DPA1_0103-DPB1_5101
ClassII,DPA1_0103-DPB1_5201
ClassII,DPA1_0103-DPB1_5301
ClassII,DPA1_0103-DPB1_5401
ClassII,DPA1_0103-DPB1_5501
ClassII,DPA1_0103-DPB1_5601
ClassII,DPA1_0103-DPB1_5801
ClassII,DPA1_0103-DPB1_5901
ClassII,DPA1_0103-DPB1_6001
ClassII,DPA1_0103-DPB1_6201
ClassII,DPA1_0103-DPB1_6301
ClassII,DPA1_0103-DPB1_6501
ClassII,DPA1_0103-DPB1_6601
ClassII,DPA1_0103-DPB1_6701
ClassII,DPA1_0103-DPB1_6801
ClassII,DPA1_0103-DPB1_6901
ClassII,DPA1_0103-DPB1_7001
ClassII,DPA1_0103-DPB1_7101
ClassII,DPA1_0103-DPB1_7201
ClassII,DPA1_0103-DPB1_7301
ClassII,DPA1_0103-DPB1_7401
ClassII,DPA1_0103-DPB1_7501
ClassII,DPA1_0103-DPB1_7601
ClassII,DPA1_0103-DPB1_7701
ClassII,DPA1_0103-DPB1_7801
ClassII,DPA1_0103-DPB1_7901
ClassII,DPA1_0103-DPB1_8001
ClassII,DPA1_0103-DPB1_8101
ClassII,DPA1_0103-DPB1_8201
ClassII,DPA1_0103-DPB1_8301
ClassII,DPA1_0103-DPB1_8401
ClassII,DPA1_0103-DPB1_8501
ClassII,DPA1_0103-DPB1_8601
ClassII,DPA1_0103-DPB1_8701
ClassII,DPA1_0103-DPB1_8801
ClassII,DPA1_0103-DPB1_8901
ClassII,DPA1_0103-DPB1_9001
ClassII,DPA1_0103-DPB1_9101
ClassII,DPA1_0103-DPB1_9201
ClassII,DPA1_0103-DPB1_9301
ClassII,DPA1_0103-DPB1_9401
ClassII,DPA1_0103-DPB1_9501
ClassII,DPA1_0103-DPB1_9601
ClassII,DPA1_0103-DPB1_9701
ClassII,DPA1_0103-DPB1_9801
ClassII,DPA1_0103-DPB1_9901
ClassII,DPA1_0104-DPB1_0101
ClassII,DPA1_0104-DPB1_0201
ClassII,DPA1_0104-DPB1_0202
ClassII,DPA1_0104-DPB1_0301
ClassII,DPA1_0104-DPB1_0401
ClassII,DPA1_0104-DPB1_0402
ClassII,DPA1_0104-DPB1_0501
ClassII,DPA1_0104-DPB1_0601
ClassII,DPA1_0104-DPB1_0801
ClassII,DPA1_0104-DPB1_0901
ClassII,DPA1_0104-DPB1_1001
ClassII,DPA1_0104-DPB1_1101
ClassII,DPA1_0104-DPB1_1301
ClassII,DPA1_0104-DPB1_1401
ClassII,DPA1_0104-DPB1_1501
ClassII,DPA1_0104-DPB1_1601
ClassII,DPA1_0104-DPB1_1701
ClassII,DPA1_0104-DPB1_1801
ClassII,DPA1_0104-DPB1_1901
ClassII,DPA1_0104-DPB1_2001
ClassII,DPA1_0104-DPB1_2101
ClassII,DPA1_0104-DPB1_2201
ClassII,DPA1_0104-DPB1_2301
ClassII,DPA1_0104-DPB1_2401
ClassII,DPA1_0104-DPB1_2501
ClassII,DPA1_0104-DPB1_2601
ClassII,DPA1_0104-DPB1_2701
ClassII,DPA1_0104-DPB1_2801
ClassII,DPA1_0104-DPB1_2901
ClassII,DPA1_0104-DPB1_3001
ClassII,DPA1_0104-DPB1_3101
ClassII,DPA1_0104-DPB1_3201
ClassII,DPA1_0104-DPB1_3301
ClassII,DPA1_0104-DPB1_3401
ClassII,DPA1_0104-DPB1_3501
ClassII,DPA1_0104-DPB1_3601
ClassII,DPA1_0104-DPB1_3701
ClassII,DPA1_0104-DPB1_3801
ClassII,DPA1_0104-DPB1_3901
ClassII,DPA1_0104-DPB1_4001
ClassII,DPA1_0104-DPB1_4101
ClassII,DPA1_0104-DPB1_4401
ClassII,DPA1_0104-DPB1_4501
ClassII,DPA1_0104-DPB1_4601
ClassII,DPA1_0104-DPB1_4701
ClassII,DPA1_0104-DPB1_4801
ClassII,DPA1_0104-DPB1_4901
ClassII,DPA1_0104-DPB1_5001
ClassII,DPA1_0104-DPB1_5101
ClassII,DPA1_0104-DPB1_5201
ClassII,DPA1_0104-DPB1_5301
ClassII,DPA1_0104-DPB1_5401
ClassII,DPA1_0104-DPB1_5501
ClassII,DPA1_0104-DPB1_5601
ClassII,DPA1_0104-DPB1_5801
ClassII,DPA1_0104-DPB1_5901
ClassII,DPA1_0104-DPB1_6001
ClassII,DPA1_0104-DPB1_6201
ClassII,DPA1_0104-DPB1_6301
ClassII,DPA1_0104-DPB1_6501
ClassII,DPA1_0104-DPB1_6601
ClassII,DPA1_0104-DPB1_6701
ClassII,DPA1_0104-DPB1_6801
ClassII,DPA1_0104-DPB1_6901
ClassII,DPA1_0104-DPB1_7001
ClassII,DPA1_0104-DPB1_7101
ClassII,DPA1_0104-DPB1_7201
ClassII,DPA1_0104-DPB1_7301
ClassII,DPA1_0104-DPB1_7401
ClassII,DPA1_0104-DPB1_7501
ClassII,DPA1_0104-DPB1_7601
ClassII,DPA1_0104-DPB1_7701
ClassII,DPA1_0104-DPB1_7801
ClassII,DPA1_0104-DPB1_7901
ClassII,DPA1_0104-DPB1_8001
ClassII,DPA1_0104-DPB1_8101
ClassII,DPA1_0104-DPB1_8201
ClassII,DPA1_0104-DPB1_8301
ClassII,DPA1_0104-DPB1_8401
ClassII,DPA1_0104-DPB1_8501
ClassII,DPA1_0104-DPB1_8601
ClassII,DPA1_0104-DPB1_8701
ClassII,DPA1_0104-DPB1_8801
ClassII,DPA1_0104-DPB1_8901
ClassII,DPA1_0104-DPB1_9001
ClassII,DPA1_0104-DPB1_9101
ClassII,DPA1_0104-DPB1_9201
ClassII,DPA1_0104-DPB1_9301
ClassII,DPA1_0104-DPB1_9401
ClassII,DPA1_0104-DPB1_9501
ClassII,DPA1_0104-DPB1_9601
ClassII,DPA1_0104-DPB1_9701
ClassII,DPA1_0104-DPB1_9801
ClassII,DPA1_0104-DPB1_9901
ClassII,DPA1_0105-DPB1_0101
ClassII,DPA1_0105-DPB1_0201
